estado,estacion,antena,latitud,longitud,altitud,fecha,dir_rafaga,dir_viento,vel_rafaga,vel_viento,temperatura,humedad,presion_barometrica,precipitacion,radiacion_solar,rh
MC,P DE GONZALO,    OCLSP,0.379391554148867,0.344278060641612,2.4160413548966605e-07,17/05/2019,0.6527769290170611,0.618383741594754,0.6412992282888299,0.7754991487385849,0.57987693035915,0.22892219464591199,1.67970053791793e-07,0.5,0.46644556802201503,Lerma Santiago
MC,P DE GONZALO,    OCLSP,0.379391554148867,0.344278060641612,2.4160413548966605e-07,19/05/2019,0.761109660501886,0.637882240210361,0.5018115285678061,0.45743692926791496,0.5976273593278499,0.240970097106094,1.67970053791793e-07,0.5,0.46644556802201503,Lerma Santiago
MC,P DE GONZALO,    OCLSP,0.379391554148867,0.344278060641612,2.4160413548966605e-07,23/05/2019,0.7583318981561209,0.69916323585941,0.4275388572877801,0.633106330289429,0.57987693035915,0.204826389725549,1.67970053791793e-07,0.5,0.46644556802201503,Lerma Santiago
MC,P DE GONZALO,    OCLSP,0.379391554148867,0.344278060641612,2.4160413548966605e-07,27/05/2019,0.7055544135865909,0.6713082378371149,0.541665157059527,0.8358613217768149,0.630169812437134,0.42168863400881895,1.67970053791793e-07,0.5,0.46644556802201503,Lerma Santiago
MC,LAGUNA FRESNO,    OCLSP,0.3706193123668689,0.4793422250717179,0.495771927628931,11/05/2019,0.12222432097599499,0.225628269480393,0.675718271077135,0.7569261724191301,0.38166380687533297,0.204826389725549,1.67970053791793e-07,0.5,0.46644556802201503,Lerma Santiago
MC,LAGUNA FRESNO,    OCLSP,0.3706193123668689,0.4793422250717179,0.495771927628931,19/05/2019,0.0916689351725824,0.35654676018518,0.44021955726241796,0.7437703141928491,0.5040081989861671,0.709509753101429,1.67970053791793e-07,0.5,0.46644556802201503,Lerma Santiago
MC,LAGUNA FRESNO,    OCLSP,0.3706193123668689,0.4793422250717179,0.495771927628931,23/05/2019,0.0277804012199932,0.437326254449836,0.465580957211695,0.943429809626993,0.5040081989861671,0.709509753101429,1.67970053791793e-07,0.5,0.46644556802201503,Lerma Santiago
MC,LAGUNA FRESNO,    OCLSP,0.3706193123668689,0.4793422250717179,0.495771927628931,24/05/2019,0.977775123471536,0.23398476888708106,0.45833484294047294,0.405587370376103,0.5040081989861671,0.709509753101429,1.67970053791793e-07,0.5,0.46644556802201503,Lerma Santiago
MC,LAGUNA FRESNO,    OCLSP,0.3706193123668689,0.4793422250717179,0.495771927628931,25/05/2019,0.0611135493691702,0.317549762953967,0.4112351001775301,0.575065779291131,0.5040081989861671,0.709509753101429,1.67970053791793e-07,0.5,0.46644556802201503,Lerma Santiago
MC,LAGUNA FRESNO,    OCLSP,0.3706193123668689,0.4793422250717179,0.495771927628931,30/05/2019,0.7444430864272981,0.6908067364527221,0.874986413535741,0.9929577464788728,0.5040081989861671,0.709509753101429,1.67970053791793e-07,0.5,0.46644556802201503,Lerma Santiago
