Antena,Fecha,Latitud,Longitud,Codigo,Temp_max_emas,Temp_min_emas,Hidroregion,Topoforma,Temp_max_merra,Temp_min_merra,Differential_max,Differential_min,Temp_mean_merra,Temp_mean_emas,Humedad,Presion_barometrica,Precipitacion,Radiacion_solar,Etiqueta_clase
31031,12/03/19,21.34,-89.27,31031,-99,-99,Yucatan Norte,Playa o Barra,31.00879,24.0733,-99,-99,27.32184,,,,,,0
31031,13/03/19,21.34,-89.27,31031,-99,-99,Yucatan Norte,Playa o Barra,32.09351,23.82233,-99,-99,27.61963,,,,,,0
31031,14/03/19,21.34,-89.27,31031,-99,-99,Yucatan Norte,Playa o Barra,32.38501,24.00293,-99,-99,27.98532,,,,,,0
31032,08/03/19,20.64,-89.46,31032,-99,-99,Yucatan Norte,Llanura,35.24927,20.30316,-99,-99,27.18863,,,,,,0
31032,09/03/19,20.64,-89.46,31032,-99,-99,Yucatan Norte,Llanura,36.28625,20.57727,-99,-99,27.93362,,,,,,0
31032,10/03/19,20.64,-89.46,31032,-99,-99,Yucatan Norte,Llanura,36.32962,22.79184,-99,-99,29.23502,,,,,,0
31032,11/03/19,20.64,-89.46,31032,-99,-99,Yucatan Norte,Llanura,36.25534,22.52548,-99,-99,29.1712,,,,,,0
31032,12/03/19,20.64,-89.46,31032,-99,-99,Yucatan Norte,Llanura,35.89642,23.20749,-99,-99,29.28336,,,,,,0
31032,13/03/19,20.64,-89.46,31032,-99,-99,Yucatan Norte,Llanura,36.33426,22.88934,-99,-99,29.20004,,,,,,0
31032,14/03/19,20.64,-89.46,31032,-99,-99,Yucatan Norte,Llanura,37.27032,23.40482,-99,-99,29.61478,,,,,,0
31033,08/03/19,20.21,-89.29,31033,-99,-99,Yucatan Norte,Llanura,34.82172,20.17346,-99,-99,26.95663,,,,,,0
31033,09/03/19,20.21,-89.29,31033,-99,-99,Yucatan Norte,Llanura,35.78564,20.31314,-99,-99,27.46664,,,,,,0
31033,10/03/19,20.21,-89.29,31033,-99,-99,Yucatan Norte,Llanura,35.85892,22.82986,-99,-99,28.66907,,,,,,0
31033,11/03/19,20.21,-89.29,31033,-99,-99,Yucatan Norte,Llanura,35.72751,22.55536,-99,-99,28.6835,,,,,,0
31033,12/03/19,20.21,-89.29,31033,-99,-99,Yucatan Norte,Llanura,35.50476,22.97519,-99,-99,28.80923,,,,,,0
31033,13/03/19,20.21,-89.29,31033,-99,-99,Yucatan Norte,Llanura,36.03525,22.90872,-99,-99,28.80258,,,,,,0
31033,14/03/19,20.21,-89.29,31033,-99,-99,Yucatan Norte,Llanura,36.98492,23.57043,-99,-99,29.35352,,,,,,0
31034,08/03/19,21.16,-88.17,31034,-99,-99,Yucatan Norte,Llanura,33.55893,19.34885,-99,-99,25.80823,,,,,,0
31034,09/03/19,21.16,-88.17,31034,-99,-99,Yucatan Norte,Llanura,34.69427,20.04282,-99,-99,26.57294,,,,,,0
31034,10/03/19,21.16,-88.17,31034,-99,-99,Yucatan Norte,Llanura,34.72324,22.45975,-99,-99,27.85489,,,,,,0
31034,11/03/19,21.16,-88.17,31034,-99,-99,Yucatan Norte,Llanura,34.86755,22.14447,-99,-99,27.93011,,,,,,0
31034,12/03/19,21.16,-88.17,31034,-99,-99,Yucatan Norte,Llanura,34.87753,21.98981,-99,-99,27.9006,,,,,,0
31034,13/03/19,21.16,-88.17,31034,-99,-99,Yucatan Norte,Llanura,34.55478,21.5885,-99,-99,27.58969,,,,,,0
31034,14/03/19,21.16,-88.17,31034,-99,-99,Yucatan Norte,Llanura,35.18707,21.29852,-99,-99,27.68747,,,,,,0
31035,08/03/19,20.23,-89.11,31035,-99,-99,Yucatan Norte,Llanura,34.7565,19.95889,-99,-99,26.77594,,,,,,0
31035,09/03/19,20.23,-89.11,31035,-99,-99,Yucatan Norte,Llanura,35.57962,20.33337,-99,-99,27.3157,,,,,,0
31035,10/03/19,20.23,-89.11,31035,-99,-99,Yucatan Norte,Llanura,35.57797,22.81955,-99,-99,28.45493,,,,,,0
31035,11/03/19,20.23,-89.11,31035,-99,-99,Yucatan Norte,Llanura,35.55017,22.45187,-99,-99,28.44067,,,,,,0
31035,12/03/19,20.23,-89.11,31035,-99,-99,Yucatan Norte,Llanura,35.37302,22.65073,-99,-99,28.52029,,,,,,0
31035,13/03/19,20.23,-89.11,31035,-99,-99,Yucatan Norte,Llanura,35.73062,22.6499,-99,-99,28.51233,,,,,,0
31035,14/03/19,20.23,-89.11,31035,-99,-99,Yucatan Norte,Llanura,36.62463,23.37183,-99,-99,29.04425,,,,,,0
31036,08/03/19,20.69,-88.2,31036,-99,-99,Yucatan Norte,Llanura,34.15851,18.65884,-99,-99,25.85178,,,,,,0
31036,09/03/19,20.69,-88.2,31036,-99,-99,Yucatan Norte,Llanura,34.63458,19.67361,-99,-99,26.41199,,,,,,0
31036,10/03/19,20.69,-88.2,31036,-99,-99,Yucatan Norte,Llanura,34.32956,22.79251,-99,-99,27.58237,,,,,,0
31036,11/03/19,20.69,-88.2,31036,-99,-99,Yucatan Norte,Llanura,34.87955,22.37497,-99,-99,27.67258,,,,,,0
31036,12/03/19,20.69,-88.2,31036,-99,-99,Yucatan Norte,Llanura,34.96097,21.28204,-99,-99,27.52734,,,,,,0
31036,13/03/19,20.69,-88.2,31036,-99,-99,Yucatan Norte,Llanura,34.16989,21.18338,-99,-99,27.24097,,,,,,0
31036,14/03/19,20.69,-88.2,31036,-99,-99,Yucatan Norte,Llanura,34.63071,21.35806,-99,-99,27.43512,,,,,,0
31037,08/03/19,20.34,-89.48,31037,-99,-99,Yucatan Norte,Llanura,35.08743,20.27087,-99,-99,27.16254,,,,,,0
31037,09/03/19,20.34,-89.48,31037,-99,-99,Yucatan Norte,Llanura,36.06799,20.41306,-99,-99,27.73947,,,,,,0
31037,10/03/19,20.34,-89.48,31037,-99,-99,Yucatan Norte,Llanura,36.14816,22.8598,-99,-99,28.97549,,,,,,0
31037,11/03/19,20.34,-89.48,31037,-99,-99,Yucatan Norte,Llanura,36.00574,22.54028,-99,-99,28.93817,,,,,,0
31037,12/03/19,20.34,-89.48,31037,-99,-99,Yucatan Norte,Llanura,35.70465,23.14755,-99,-99,29.08408,,,,,,0
31037,13/03/19,20.34,-89.48,31037,-99,-99,Yucatan Norte,Llanura,36.245,22.89612,-99,-99,29.02118,,,,,,0
31037,14/03/19,20.34,-89.48,31037,-99,-99,Yucatan Norte,Llanura,37.19382,23.55536,-99,-99,29.53766,,,,,,0
31038,08/03/19,20.1,-89.46,31038,-99,-99,Yucatan Norte,Lomer?o,34.73489,20.2764,-99,-99,26.98499,,,,,,0
31038,09/03/19,20.1,-89.46,31038,-99,-99,Yucatan Norte,Lomer?o,35.7305,20.36789,-99,-99,27.44266,,,,,,0
31038,10/03/19,20.1,-89.46,31038,-99,-99,Yucatan Norte,Lomer?o,35.82483,22.85202,-99,-99,28.61057,,,,,,0
31038,11/03/19,20.1,-89.46,31038,-99,-99,Yucatan Norte,Lomer?o,35.64789,22.66205,-99,-99,28.65543,,,,,,0
31038,12/03/19,20.1,-89.46,31038,-99,-99,Yucatan Norte,Lomer?o,35.45471,23.03305,-99,-99,28.77719,,,,,,0
31038,13/03/19,20.1,-89.46,31038,-99,-99,Yucatan Norte,Lomer?o,36.05429,23.00122,-99,-99,28.7858,,,,,,0
31038,14/03/19,20.1,-89.46,31038,-99,-99,Yucatan Norte,Lomer?o,37.02097,23.67029,-99,-99,29.38171,,,,,,0
31039,08/03/19,20.53,-88.83,31039,-99,-99,Yucatan Norte,Llanura,34.62866,18.79016,-99,-99,26.09509,,,,,,0
31039,09/03/19,20.53,-88.83,31039,-99,-99,Yucatan Norte,Llanura,35.3562,19.48538,-99,-99,26.86243,,,,,,0
31039,10/03/19,20.53,-88.83,31039,-99,-99,Yucatan Norte,Llanura,35.24036,22.57346,-99,-99,28.07748,,,,,,0
31039,11/03/19,20.53,-88.83,31039,-99,-99,Yucatan Norte,Llanura,35.47058,21.55804,-99,-99,27.9393,,,,,,0
31039,12/03/19,20.53,-88.83,31039,-99,-99,Yucatan Norte,Llanura,35.2175,21.77707,-99,-99,27.9801,,,,,,0
31039,13/03/19,20.53,-88.83,31039,-99,-99,Yucatan Norte,Llanura,35.18018,21.54309,-99,-99,27.81024,,,,,,0
31039,14/03/19,20.53,-88.83,31039,-99,-99,Yucatan Norte,Llanura,36.03894,22.53635,-99,-99,28.26941,,,,,,0
31040,08/03/19,20.86,-90.4,31040,-99,-99,Yucatan Norte,Playa o Barra,30.97867,23.01782,-99,-99,26.56464,,,,,,0
31040,09/03/19,20.86,-90.4,31040,-99,-99,Yucatan Norte,Playa o Barra,32.06989,23.4375,-99,-99,27.26785,,,,,,0
31040,10/03/19,20.86,-90.4,31040,-99,-99,Yucatan Norte,Playa o Barra,32.71454,24.34869,-99,-99,28.28885,,,,,,0
31040,11/03/19,20.86,-90.4,31040,-99,-99,Yucatan Norte,Playa o Barra,31.74292,24.52472,-99,-99,28.3067,,,,,,0
31040,12/03/19,20.86,-90.4,31040,-99,-99,Yucatan Norte,Playa o Barra,31.45981,24.97479,-99,-99,27.98285,,,,,,0
31040,13/03/19,20.86,-90.4,31040,-99,-99,Yucatan Norte,Playa o Barra,32.44147,24.30011,-99,-99,28.19577,,,,,,0
31040,14/03/19,20.86,-90.4,31040,-99,-99,Yucatan Norte,Playa o Barra,32.9892,24.7485,-99,-99,28.67172,,,,,,0
31042,08/03/19,20.7,-88.22,31042,-99,-99,Yucatan Norte,Llanura,34.17194,18.66849,-99,-99,25.86331,,,,,,0
31042,09/03/19,20.7,-88.22,31042,-99,-99,Yucatan Norte,Llanura,34.66229,19.67886,-99,-99,26.43045,,,,,,0
31042,10/03/19,20.7,-88.22,31042,-99,-99,Yucatan Norte,Llanura,34.36951,22.7804,-99,-99,27.60101,,,,,,0
31042,11/03/19,20.7,-88.22,31042,-99,-99,Yucatan Norte,Llanura,34.90869,22.34653,-99,-99,27.69037,,,,,,0
31042,12/03/19,20.7,-88.22,31042,-99,-99,Yucatan Norte,Llanura,34.98669,21.30551,-99,-99,27.55386,,,,,,0
31042,13/03/19,20.7,-88.22,31042,-99,-99,Yucatan Norte,Llanura,34.20712,21.20401,-99,-99,27.26596,,,,,,0
31042,14/03/19,20.7,-88.22,31042,-99,-99,Yucatan Norte,Llanura,34.68079,21.37027,-99,-99,27.45642,,,,,,0
31045,08/03/19,20.6,-89.02,31045,-99,-99,Yucatan Norte,Llanura,34.84598,19.28665,-99,-99,26.47,,,,,,0
